NB,Member State,Start,End,Duration,Reasons/Scope
330,Denmark,12/05/2022,11/11/2022,184,"Terrorist threats, organized criminality threats, impact of the war in Ukraine (high risk of weapons from Ukraine to flow towards Danish criminal organisations, risk of arrival of persons who could pose a threat among the flow of refugees); to be determined but may concern all internal borders, focus on land border and on ports with ferry connections to Germany and Sweden"
329,Austria,12/05/2022,11/11/2022,184,"Secondary movements, situation at the external borders, effects of the war in Ukraine (potential risk that weapons are brought to the EU, use of established flight and migration routes by organised crime actors); land borders with Hungary and with Slovenia"
328,Norway,12/05/2022,11/11/2022,184,"Terrorist threats, secondary movements; ports with ferry connections to the Schengen area"
327,Sweden,12/05/2022,11/11/2022,184,"Terrorist threats, shortcomings at the external borders, risk of weapons from Ukraine to be smuggled into the EU and the Schengen area; to be determined but may concern all internal borders"
326,Estonia,02/04/2022,21/04/2022,20,"Secondary movements, to facilitate the entry and reception of people arriving from Ukraine; border with Latvia"
325,France,01/05/2022,31/10/2022,184,"Continuous terrorist threat, secondary movements, Coronavirus COVID-19; all internal borders"
324,Estonia,13/03/2022,01/04/2022,20,"Secondary movements, to facilitate the entry and reception of people arriving from Ukraine; border with Latvia"
323,Estonia,03/03/2022,12/03/2022,10,"Secondary movements, to facilitate the entry and reception of people arriving from Ukraine; border with Latvia"
322,Finland,17/01/2022,31/01/2022,15,Coronavirus COVID-19; all internal borders
321,Finland,28/12/2021,16/01/2022,20,Coronavirus COVID-19; all internal borders
320,Italy,27/10/2021,01/11/2021,6,G-20 meeting in Rome (30-31/10/2021); all internal borders
319,Denmark,12/11/2021,11/05/2022,181,"Terrorist threats, organized criminality threats; to be determined but may concern all internal borders, focus on land border and on ports with ferry connections to Germany and Sweden"
318,Norway,12/11/2021,11/05/2022,181,"Terrorist threats, secondary movements; ports with ferry connections to Denmark, Germany and Sweden"
317,Germany,12/11/2021,11/05/2022,181,"Secondary movements, situation at the external borders; land border with Austria"
316,Austria,12/11/2021,11/05/2022,181,"Secondary movements, risk related to terrorists and organized crime, situation at the external borders; land borders with Hungary and with Slovenia"
315,Sweden,12/11/2021,11/05/2022,181,"Terrorist threats, shortcomings at the external borders; to be determined but may concern all internal borders"
314,France,01/11/2021,30/04/2022,181,"Continuous terrorist threat, secondary movements, Coronavirus COVID-19; all internal borders"
313,Norway,08/09/2021,07/10/2021,30,Coronavirus COVID-19; all internal borders
312,Finland,19/07/2021,25/07/2021,7,"Coronavirus COVID-19; internal borders with the Netherlands, Belgium, Spain, Greece, Latvia, Liechtenstein, Luxembourg, Malta, Norway, Portugal, France, Slovenia, Sweden, Denmark and Estonia"
311,Finland,12/07/2021,25/07/2021,14,"Coronavirus COVID-19; internal borders with the Netherlands, Belgium, Spain, Greece, Latvia, Liechtenstein, Luxembourg, Norway, Portugal, France, Sweden, Denmark and Estonia"
310,Finland,01/07/2021,11/07/2021,11,"Coronavirus COVID-19; internal borders with the Netherlands, Belgium, Spain, Greece, Latvia, Lithuania, Luxembourg, Norway, Portugal, France, Sweden, Slovenia, Switzerland, Denmark and Estonia"
309,Finland,21/06/2021,11/07/2021,21,"Coronavirus COVID-19; all internal borders except the borders with Hungary, Iceland, Malta and Poland"
308,Finland,07/06/2021,27/06/2021,21,Coronavirus COVID-19; all internal borders except the borders with Iceland and Malta
307,Hungary,23/05/2021,22/06/2021,31,Coronavirus COVID-19; all internal borders
306,Finland,24/05/2021,15/06/2021,23,Coronavirus COVID-19; all internal borders except the border with Iceland
305,Iceland,17/05/2021,15/06/2021,30,Coronavirus COVID-19; all internal borders
304,Sweden,12/05/2021,11/11/2021,184,"Terrorist threats, shortcomings at the external borders; to be determined but may concern all internal borders"
303,Iceland,07/05/2021,16/05/2021,10,Coronavirus COVID-19; all internal borders
302,Norway,11/05/2021,07/09/2021,120,Coronavirus COVID-19; all internal borders
301,Austria,29/04/2021,28/05/2021,30,Coronavirus COVID-19; borders with the Slovak Republic and the Czechia
300,Finland,26/04/2021,25/05/2021,30,Coronavirus COVID-19; all internal borders except the border with Iceland
299,Iceland,17/04/2021,06/05/2021,20,Coronavirus COVID-19; all internal borders
298,Norway,10/05/2021,09/11/2021,184,"Terrorist threats, secondary movements; ports with ferry connections to Denmark, Germany and Sweden"
297,Spain,16/04/2021,01/05/2021,16,Coronavirus COVID-19; land border with Portugal
296,Hungary,19/04/2021,22/05/2021,34,Coronavirus COVID-19; all internal borders
295,Portugal,16/04/2021,30/04/2021,15,Coronavirus COVID-19; internal border with Spain
294,Denmark,12/05/2021,11/11/2021,184,"Terrorist threats, organized criminality threats, Coronavirus COVID-19; to be determined but may concern all internal borders"
293,Germany,12/05/2021,11/11/2021,184,"Secondary movements, situation at the external borders; land border with Austria"
292,Austria,12/05/2021,11/11/2021,184,"Secondary movements, risk related to terrorists and organized crime, situation at the external borders; land borders with Hungary and with Slovenia"
291,Norway,11/04/2021,10/05/2021,30,Coronavirus COVID-19; all internal borders
290,Hungary,08/04/2021,18/04/2021,11,Coronavirus COVID-19; all internal borders
289,Portugal,01/04/2021,15/04/2021,15,Coronavirus COVID-19; internal border with Spain
288,France,01/05/2021,31/10/2021,184,"Continuous terrorist threat, secondary movements, Coronavirus COVID-19; all internal borders"
287,Spain,06/04/2021,16/04/2021,11,Coronavirus COVID-19; land border with Portugal
286,Germany,01/04/2021,14/04/2021,14,Coronavirus COVID-19; internal borders with the Czechia
285,Belgium,02/04/2021,18/04/2021,17,Coronavirus COVID-19; all internal borders
284,Finland,01/04/2021,30/04/2021,30,Coronavirus COVID-19; all internal borders except the border with Iceland
283,Iceland,28/03/2021,16/04/2021,20,Coronavirus COVID-19; all internal borders
282,Hungary,29/03/2021,07/04/2021,10,Coronavirus COVID-19; all internal borders
281,Austria,30/03/2021,28/04/2021,30,Coronavirus COVID-19; borders with the Slovak Republic and the Czechia
280,Hungary,22/03/2021,28/03/2021,7,Coronavirus COVID-19; all internal borders
279,Iceland,18/03/2021,27/03/2021,10,Coronavirus COVID-19; all internal borders
278,Belgium,27/03/2021,01/04/2021,6,Coronavirus COVID-19; all internal borders
277,Belgium,18/03/2021,26/03/2021,9,Coronavirus COVID-19; all internal borders
276,Germany,18/03/2021,31/03/2011,1,"Coronavirus COVID-19; land and air border with the Czechia, air border with Austria"
275,Portugal,17/03/2021,31/03/2021,15,Coronavirus COVID-19; internal border with Spain
274,Norway,12/03/2021,10/04/2021,30,Coronavirus COVID-19; all internal borders
273,Spain,16/03/2021,06/04/2021,22,Coronavirus COVID-19; land border with Portugal
272,Hungary,16/03/2021,21/03/2021,6,Coronavirus COVID-19; all internal borders
271,Finland,19/03/2021,17/04/2021,30,Coronavirus COVID-19; all internal borders except the border with Iceland
270,Germany,04/03/2021,17/03/2021,14,"Coronavirus COVID-19; land and air border with the Czechia, air border with Austria"
269,Portugal,02/03/2021,16/03/2021,15,Coronavirus COVID-19; internal border with Spain
268,Belgium,26/02/2021,17/03/2021,20,Coronavirus COVID-19; all internal borders
267,Hungary,28/02/2021,15/03/2021,16,Coronavirus COVID-19; all internal borders
266,Spain,01/03/2021,16/03/2021,16,Coronavirus COVID-19; land border with Portugal
265,Austria,28/02/2021,29/03/2021,30,Coronavirus COVID-19; borders with the Slovak Republic and the Czechia
264,Germany,24/02/2021,03/03/2021,8,"Coronavirus COVID-19; land and air border with the Czechia, air border with Austria"
263,Finland,22/02/2021,18/03/2021,25,Coronavirus COVID-19; all internal borders except the border with Iceland
262,Portugal,10/02/2021,01/03/2021,20,Coronavirus COVID-19; internal border with Spain
261,Germany,14/02/2021,23/02/2021,10,"Coronavirus COVID-19; land and air border with the Czechia, air border with Austria"
260,Spain,10/02/2021,01/03/2021,20,Coronavirus COVID-19; land border with Portugal
259,Norway,10/02/2021,12/03/2021,31,Coronavirus COVID-19; all internal borders
258,Belgium,06/02/2021,25/02/2021,20,Coronavirus COVID-19; all internal borders
257,Austria,08/02/2021,27/02/2021,20,Coronavirus COVID-19; borders with the Slovak Republic and the Czechia
256,Portugal,31/01/2021,09/02/2021,10,Coronavirus COVID-19; internal border with Spain
255,Spain,31/01/2021,10/02/2021,11,Coronavirus COVID-19; land border with Portugal
254,Hungary,29/01/2021,27/02/2021,30,Coronavirus COVID-19; all internal borders
253,Belgium,27/01/2021,05/02/2021,10,Coronavirus COVID-19; all internal borders
252,Finland,27/01/2021,25/02/2021,30,"Coronavirus COVID-19; all internal borders, since 15/02/2021 all internal borders except the border with Iceland"
251,Austria,19/01/2021,07/02/2021,20,Coronavirus COVID-19; borders with the Slovak Republic and the Czechia
250,Austria,09/01/2021,18/01/2021,10,Coronavirus COVID-19; borders with the Slovak Republic and the Czechia
249,Finland,11/01/2021,09/02/2021,30,Coronavirus COVID-19; all internal borders
248,Hungary,30/12/2020,28/01/2021,30,Coronavirus COVID-19; all internal borders
247,Finland,14/12/2020,12/01/2021,30,Coronavirus COVID-19; all internal borders
246,Hungary,30/11/2020,29/12/2020,30,Coronavirus COVID-19; all internal borders
245,Finland,23/11/2020,13/12/2020,21,Coronavirus COVID-19; all internal borders
244,Austria,12/11/2020,11/05/2021,181,"Secondary movements, risk related to terrorists and organized crime, situation at the external borders; land borders with Hungary and with Slovenia"
243,Norway,12/11/2020,09/02/2021,91,Coronavirus COVID-19; all internal borders
242,Finland,11/11/2020,22/11/2020,12,Coronavirus COVID-19; all internal borders
241,Hungary,31/10/2020,29/11/2020,30,Coronavirus COVID-19; all internal borders
240,Germany,12/11/2020,11/05/2021,181,"Secondary movements, situation at the external borders; land border with Austria"
239,Norway,12/11/2020,11/05/2021,181,"Terrorist threats, secondary movements; ports with ferry connections to Denmark, Germany and Sweden"
238,Norway,13/10/2020,11/11/2020,30,Coronavirus COVID-19; all internal borders
237,Denmark,12/11/2020,11/05/2021,181,"Terrorist threats, organized criminality threats, Coronavirus COVID-19; to be determined but may concern all internal borders"
236,Sweden,12/11/2020,11/05/2021,181,"Terrorist threats, shortcomings at the external borders; to be determined but may concern all internal borders"
235,France,01/11/2020,30/04/2021,181,"Terrorist threats, situation at the external borders: all internal borders"
234,Finland,12/10/2020,10/11/2020,30,Coronavirus COVID-19; all internal borders
233,Finland,18/09/2020,18/10/2020,31,Coronavirus COVID-19; borders with Lithuania and Poland
232,Finland,18/09/2020,18/10/2020,31,"Coronavirus COVID-19; borders with Iceland, Norway, Sweden, Germany, Slovakia, Estonia"
231,Norway,14/09/2020,13/10/2020,30,Coronavirus COVID-19: all internal borders
230,Hungary,30/09/2020,30/10/2020,31,Coronavirus COVID-19: all internal borders
229,Finland,18/09/2020,18/10/2020,31,"Coronavirus COVID-19; borders with Austria, Belgium, Switzerland, Czechia, Denmark, Greece, Italy, Hungary, Spain, France, Luxembourg, The Netherlands, Malta, Portugal, Sweden, Slovenia"
228,Hungary,01/09/2020,30/09/2020,30,"Coronavirus COVID-19: to protect public health, all internal borders"
227,Finland,24/08/2020,18/09/2020,26,"Coronavirus COVID-19; borders with Austria, Belgium; Switzerland, Czechia, Germany, Denmark, Spain, France, Iceland, Luxembourg, Malta, The Netherlands, Norway, Poland, Portugal, Sweden, Slovenia"
226,Norway,14/08/2020,13/09/2020,31,"coronavirus COVID-19; internal air, land and sea borders"
225,Lithuania,16/08/2020,14/09/2020,30,coronavirus COVID-19; internal air and sea borders
224,Finland,10/08/2020,08/09/2020,30,"coronavirus COVID-19; borders with Spain, Luxembourg, Portugal, Poland, France, Sweden, Czechia, Austria, Slovenia and Switzerland"
223,Finland,27/07/2020,25/08/2020,30,"coronavirus COVID-19; borders with Spain, Luxembourg, Portugal, Poland, France, Sweden, Czechia, Austria, Slovenia and Switzerland"
222,Lithuania,17/07/2020,15/08/2020,30,coronavirus COVID-19; internal air and sea borders
221,Finland,15/07/2020,11/08/2020,28,"coronavirus COVID-19; borders with Spain, Luxembourg, Portugal, Poland, France, Sweden and Czechia"
220,Spain,21/06/2020,30/06/2020,10,coronavirus COVID-19; borders with Portugal
219,Portugal,16/06/2020,30/06/2020,15,coronavirus COVID-19; land border with Spain
218,Germany,16/06/2020,21/06/2020,6,"coronavirus COVID-19; air borders with Spain (lifting the controls reintroduced on the basis of coronavirus at the borders with Austria, Switzerland, France, Denmark and Italy as of 15 June 2020)"
217,Iceland,16/06/2020,22/06/2020,7,coronavirus COVID-19; all internal borders
216,Finland,15/06/2020,14/07/2020,30,"coronavirus COVID-19; all internal borders, except borders with Norway, Denmark, Iceland, Estonia, Latvia and Lithuania"
215,Lithuania,17/06/2020,16/07/2020,30,coronavirus COVID-19; internal air and sea borders (lifting the border controls at the land border with Poland as of 12 June 2020)
214,Switzerland,09/06/2020,15/06/2020,7,coronavirus COVID-19; all internal air and land borders except from borders with Liechtenstein
213,Czechia,14/06/2020,30/06/2020,17,coronavirus COVID-19; all internal air borders (lifting the border controls at the internal land borders as of 5 June 2020)
212,Spain,08/06/2020,21/06/2020,14,coronavirus COVID-19; all internal borders
211,Iceland,04/06/2020,15/06/2020,12,coronavirus COVID-19; all internal borders
210,Belgium,09/06/2020,14/06/2020,6,coronavirus COVID-19; all internal borders
209,Austria,01/06/2020,15/06/2020,15,"coronavirus COVID-19; land borders with Germany, Italy, Switzerland, Liechtenstein, Slovakia and Czechia"
208,Lithuania,01/06/2020,16/06/2020,16,"coronavirus COVID-19; land border with Poland, sea borders, air borders"
207,Slovakia,28/05/2020,26/06/2020,30,"coronavirus COVID-19, all internal borders"
206,Spain,24/05/2020,07/06/2020,15,coronavirus COVID-19; all internal borders
205,Estonia,18/05/2020,16/06/2020,30,coronavirus COVID-19; internal air and sea borders (lifting the border controls at the internal land borders as of 15 May 2020)
204,Iceland,14/05/2020,03/06/2020,21,coronavirus COVID-19; all internal borders
203,Germany,16/05/2020,15/06/2020,31,"coronavirus COVID-19; land and air borders with Austria, Switzerland, France, Denmark, Italy and Spain, sea border with Denmark"
202,Portugal,15/05/2020,15/06/2020,32,coronavirus COVID-19; land border with Spain
201,Spain,15/05/2020,24/05/2020,10,coronavirus COVID-19; all internal sea and air borders
200,Poland,14/05/2020,12/06/2020,30,"coronavirus COVID-19; land borders with Czechia, Slovakia, Germany, Lithuania, sea borders, air borders"
199,Slovakia,08/05/2020,27/05/2020,20,"coronavirus COVID-19, all internal borders"
198,Hungary,12/05/2020,11/11/2020,184,coronavirus COVID-19; all land and air borders
197,Spain,10/05/2020,24/05/2020,15,coronavirus COVID-19; all land borders
196,Finland,14/05/2020,14/06/2020,32,coronavirus COVID-19; all internal borders
195,Lithuania,14/05/2020,31/05/2020,18,coronavirus COVID-19; all internal borders
194,Czechia,14/05/2020,13/06/2020,31,"coronavirus COVID-19; land borders with Germany and Austria, air borders"
193,Austria,08/05/2020,31/05/2020,24,"coronavirus COVID-19; land borders with Germany, Italy, Switzerland, Liechtenstein, Slovakia and Czechia"
192,Iceland,04/05/2020,15/05/2020,12,coronavirus COVID-19; all internal borders
191,Poland,04/05/2020,13/05/2020,10,"coronavirus COVID-19; land borders with Czechia, Slovakia, Germany, Lithuania, sea borders, air borders"
190,Portugal,05/05/2020,15/05/2020,11,coronavirus COVID-19; land border with Spain
189,Germany,05/05/2020,15/05/2020,11,"coronavirus COVID-19; land and air borders with Austria, Switzerland, France, Luxembourg, Denmark, Italy and Spain, sea border with Denmark"
188,Czechia,24/04/2020,14/05/2020,21,"coronavirus COVID-19; land borders with Germany and Austria, air borders"
187,Switzerland,02/05/2020,08/06/2020,38,coronavirus COVID-19; all internal air and land borders except from borders with Liechtenstein
186,Norway,05/05/2020,16/05/2020,12,coronavirus COVID-19; all internal borders
185,Belgium,08/05/2020,08/06/2020,32,coronavirus COVID-19; all internal borders
184,Spain,26/04/2020,10/05/2020,15,coronavirus COVID-19; all land borders
183,Hungary,01/05/2020,11/05/2020,11,coronavirus COVID-19; all land and air borders
182,Estonia,01/05/2020,17/05/2020,17,coronavirus COVID-19; all internal borders
181,Austria,28/04/2020,07/05/2020,10,"coronavirus COVID-19; land borders with Germany, Italy, Switzerland, Liechtenstein, Slovakia and Czechia"
180,Lithuania,28/04/2020,14/05/2020,17,coronavirus COVID-19; all internal borders
179,Iceland,24/04/2020,04/05/2020,11,coronavirus COVID-19; all internal borders
178,Austria,12/05/2020,11/11/2020,184,"secondary movements, risk related to terrorists and organized crime, situation at the external borders, risk of Coronavirus causing additional migrant movements; land borders with Hungary and with Slovenia"
177,Belgium,19/04/2020,08/05/2020,20,coronavirus COVID-19; all internal borders
176,Slovakia,17/04/2020,07/05/2020,21,"coronavirus COVID-19, all internal borders"
175,Germany,15/04/2020,05/05/2020,21,"coronavirus COVID-19; internal land and air borders with Austria, Switzerland, France, Luxembourg, Denmark, Italy and Spain, sea border with Denmark"
175,Germany,12/05/2020,11/11/2020,184,"secondary movements, situation at the external borders; land border with Austria"
174,Estonia,15/04/2020,01/05/2020,17,coronavirus COVID-19; all internal borders
173,Portugal,15/04/2020,05/05/2020,21,coronavirus COVID-19; land border with Spain
172,Norway,15/04/2020,05/05/2020,21,coronavirus COVID-19; all internal borders
172,Norway,15/05/2020,13/08/2020,91,coronavirus COVID-19; all internal borders
172,Norway,12/05/2020,12/11/2020,184,"terrorist threats, secondary movements; ports with ferry connections with Denmark, Germany and Sweden"
171,Poland,14/04/2020,03/05/2020,20,"coronavirus COVID-19; land borders with Czechia, Slovakia, Germany, Lithuania, sea borders, air borders"
170,Hungary,11/04/2020,01/05/2020,21,coronavirus COVID-19; all land and air borders
169,Slovakia,08/04/2020,17/04/2020,10,"coronavirus COVID-19, all internal borders"
168,Spain,11/04/2020,26/04/2020,16,coronavirus COVID-19; all land borders
167,Austria,10/04/2020,27/04/2020,18,coronavirus COVID-19; land borders with Czechia and Slovakia
166,Lithuania,13/04/2020,27/04/2020,15,coronavirus COVID-19; all internal borders
165, Switzerland,12/04/2020,02/05/2020,21,coronavirus COVID-19; all internal air and land borders except from borders with Liechtenstein
164, Sweden,12/05/2020,12/11/2020,184,"terrorist threats, shortcomings at the external borders"
164, Sweden,12/05/2020,12/11/2020,184,"coronavirus COVID-19 (to the extent necessary), terrorist threats, organized criminality; all land, air, and sea borders"
163, Denmark,12/05/2020,12/11/2020,184,"may concern all internal borders. After lifting the COVID-19 travel restrictions, the border controls will be limited to the Danish land and sea borders with Germany and Sweden (Øresundsforbindelsen)"
162, Austria,08/04/2020,27/04/2020,20,"coronavirus COVID-19; land borders with Germany, Italy, Switzerland, and Liechtenstein"
161, Finland,14/04/2020,13/05/2020,30,coronavirus COVID-19; all internal borders
160, Switzerland,08/05/2020,31/05/2020,24,coronavirus COVID-19; all air borders except air borders with Liechtenstein
159, Czechia,04/05/2020,15/05/2020,12,"coronavirus COVID-19; land borders with Germany and Austria, air borders"
158, France,04/05/2020,13/05/2020,10,"continuous terrorist threat and the risk of terrorists using the vulnerability of States due to COVID-19 pandemics, support to measures aiming at containing the spread of virus; all internal borders"
157, Belgium,05/05/2020,15/05/2020,11,coronavirus COVID-19; all internal borders
156, Portugal,05/05/2020,15/05/2020,11,coronavirus COVID-19; land border with Spain
155, Norway,24/04/2020,14/05/2020,21,coronavirus COVID-19; all internal borders
154, Spain,02/05/2020,08/06/2020,38,coronavirus COVID-19; all land borders
153, Germany,05/05/2020,16/05/2020,12,"coronavirus COVID-19; internal land and air borders with Austria ,Switzerland, France, Luxembourg, Denmark, Italy, and Spain, sea border with Denmark"
152, Poland,08/05/2020,08/06/2020,32,"coronavirus COVID-19; land borders with Czechia, Slovakia, Germany, Lithuania, sea borders, air borders"
151, Lithuania,26/04/2020,10/05/2020,15,coronavirus COVID-19: all internal borders
150, Switzerland,01/05/2020,11/05/2020,11,coronavirus COVID-19: all air borders except air borders with Liechtenstein
149, Estonia,01/05/2020,17/05/2020,17,coronavirus COVID-19: all internal borders
148, Switzerland,28/04/2020,07/05/2020,10,"coronavirus COVID-19: air borders with Italy, France, Germany, Austria, and Spain"
147, Switzerland,28/04/2020,14/05/2020,17,"coronavirus COVID-19: land borders with France, Germany, and Austria"
146, Switzerland,24/04/2020,04/05/2020,11,coronavirus COVID-19: land border with Italy
145, Belgium,12/05/2020,11/11/2020,184,coronavirus COVID-19: all internal borders
144, Germany,19/04/2020,08/05/2020,20,"coronavirus COVID-19: air borders with Austria, Switzerland, France, Luxembourg, Denmark, Italy, and Spain, sea borders with Denmark"
143, Austria,17/04/2020,07/05/2020,21,"coronavirus COVID-19: land borders with Germany, Italy, Switzerland, and Liechtenstein"
142, Hungary,15/04/2020,05/05/2020,21,"coronavirus COVID-19: land borders with Slovenia, Austria, and Slovakia, all air borders"
141, Switzerland,12/05/2020,11/11/2020,184,"coronavirus COVID-19: air borders with Spain, Italy, France, Germany, and Austria"
140, Finland,15/04/2020,01/05/2020,17,coronavirus COVID-19: all internal borders
139, Spain,15/04/2020,05/05/2020,21,coronavirus COVID-19: all land borders
138, Portugal,15/04/2020,05/05/2020,21,coronavirus COVID-19: land border with Spain
137, Switzerland,15/05/2020,13/08/2020,91,"coronavirus COVID-19: land borders with France, Germany, and Austria"
136, Norway,12/05/2020,12/11/2020,184,coronavirus COVID-19: all internal borders
135, Estonia,14/04/2020,03/05/2020,20,"coronavirus COVID-19: land borders with Latvia, air borders, sea borders"
134, Czechia,11/04/2020,01/05/2020,21,"coronavirus COVID-19: land borders with Germany and Austria, air borders"
133, Germany,08/04/2020,17/04/2020,10,"coronavirus COVID-19: land borders with Luxembourg, France, Switzerland, and Austria"
132, Lithuania,11/04/2020,26/04/2020,16,coronavirus COVID-19: all internal borders
131, Poland,10/04/2020,27/04/2020,18,"coronavirus COVID-19: land borders with Czechia, Slovakia, Germany, Lithuania, sea borders, air borders"
130, Denmark,13/04/2020,27/04/2020,15,"coronavirus COVID-19, terrorist threats, organized criminality from Sweden: all land, air and sea borders"
129, Austria,12/04/2020,02/05/2020,21,coronavirus COVID-19: land borders with Switzerland and Liechtenstein
128, Switzerland,12/05/2020,12/11/2020,184,coronavirus COVID-19: land border with Italy
127, Czechia,12/05/2020,12/11/2020,184,"coronavirus COVID-19: land borders with Austria and Germany, air borders"
126, Hungary,12/05/2020,12/11/2020,184,coronavirus COVID-19: land borders with Austria and Slovenia
125, Austria,08/04/2020,27/04/2020,20,coronavirus COVID-19: land border with Italy
124, Spain,14/04/2020,13/05/2020,30,"XXV United Nations Conference on Climate Change (COP25) in Madrid: Air borders (mainly Madrid and Barcelona airports), sea borders, mainly ports in northern Spain, land border with France, keeping the usual authorized crossing points."
123, Norway,12/11/2019,12/05/2020,184,"terrorist threats, secondary movements; 12/11/2019 - 12/05/2020, terrorist threats, shortcomings at the external borders; 12/11/2019 - 12/05/2020, terrorist threats, organized criminality from Sweden"
